stature_m,buttockheight,wristcircumference,shouldercircumference,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,functionalleglength,handbreadth,handcircumference,handlength,headbreadth,headcircumference
1.776,882,1054,273,349,299,575,477,1136,90,214,193,150
1.702,870,1054,254,348,289,523,476,1096,86,203,195,146
1.735,901,1041,268,355,357,575,491,1115,93,220,203,148
1.655,821,968,249,352,318,593,467,1034,91,217,194,158
1.914,1080,1245,302,399,324,605,550,1279,94,222,218,153
1.72,871,1020,263,346,298,540,470,1126,85,203,190,155
1.81,919,1082,296,392,376,640,536,1202,93,227,220,158
1.85,950,1110,281,364,287,566,499,1169,88,210,198,156
1.777,926,1033,256,358,344,673,475,1154,93,226,197,160
1.811,944,1091,289,362,287,520,508,1143,88,208,200,146
1.78,879,1033,263,350,304,589,488,1093,89,212,200,155
1.733,937,1067,270,347,281,492,484,1136,88,203,194,148
1.814,989,1128,283,371,342,650,505,1217,94,225,210,154
1.861,976,1130,289,373,350,658,507,1219,91,219,194,165
1.709,856,1012,246,329,322,579,447,1144,90,212,184,160
1.74,946,1048,274,376,338,633,506,1183,88,220,203,152
1.694,852,1020,257,334,296,581,459,1128,85,205,188,160
1.766,910,1030,273,350,337,636,482,1140,90,217,203,153
1.748,904,1091,260,340,297,568,458,1132,85,199,179,150
1.794,898,1054,267,354,298,588,489,1143,92,221,198,150
1.78,895,1076,273,353,288,517,488,1146,88,210,195,150
1.68,820,1003,254,331,299,554,450,1063,88,206,185,149
1.653,877,1005,254,336,290,603,450,1089,86,205,180,150
1.959,1057,1225,317,405,306,523,559,1286,98,232,227,153
1.755,893,1057,264,351,325,625,476,1133,92,218,194,159
1.63,825,959,240,318,276,493,440,1042,82,192,181,155
1.825,951,1063,263,354,327,633,478,1145,94,221,199,154
1.795,896,1070,246,336,281,555,470,1132,84,197,192,155
1.745,900,1048,274,361,292,512,476,1140,90,214,193,150
1.818,901,1083,249,356,314,556,474,1130,88,212,196,148
1.881,944,1137,274,358,284,491,488,1198,91,220,192,149
1.76,903,1041,281,364,317,601,497,1127,89,215,201,153
1.675,850,1016,256,331,263,516,456,1075,82,197,187,153
1.852,989,1139,291,385,312,589,502,1189,88,211,195,152
1.785,898,1071,271,357,276,491,482,1107,88,205,193,149
1.791,920,1053,278,365,294,632,494,1207,83,198,194,149
1.685,862,1012,261,346,265,513,470,1124,79,188,183,150
1.85,963,1107,293,383,358,637,513,1234,92,219,197,144
1.737,897,1045,274,357,307,568,494,1140,84,199,210,145
1.743,860,1012,263,343,306,592,479,1097,92,218,196,160
1.744,900,1044,265,343,268,495,461,1088,82,195,184,155
1.679,874,966,258,342,300,598,468,1096,86,206,189,152
1.836,912,1099,263,353,313,547,490,1119,93,223,206,156
1.73,893,1048,257,340,307,652,459,1127,85,210,190,160
1.762,899,1052,259,345,312,654,477,1188,87,212,198,146
1.669,805,975,250,341,279,525,460,1017,86,206,190,162
1.74,844,1039,262,351,295,518,480,1131,89,211,200,144
1.709,908,1024,261,340,311,617,458,1113,85,205,183,153
1.879,970,1114,262,359,340,581,496,1174,98,228,212,155
1.674,831,949,254,337,296,597,451,1106,84,201,184,149
1.779,911,1053,269,350,327,624,477,1168,94,226,206,150
1.844,939,1122,290,372,291,601,504,1161,94,221,203,152
1.637,847,964,255,337,289,526,458,1067,81,196,187,144
1.754,907,1035,274,358,316,644,474,1163,91,217,185,152
1.704,842,985,247,328,330,570,455,1076,93,222,190,157
1.84,971,1063,302,388,379,778,528,1279,97,234,213,160
1.783,973,1113,304,386,291,516,513,1140,89,208,196,151
1.748,882,1037,248,332,289,620,457,1103,83,199,187,152
1.703,898,992,258,337,306,651,457,1090,86,208,189,168
1.852,936,1108,281,368,314,591,506,1190,88,205,205,158
1.609,841,963,256,329,261,498,449,1010,77,190,178,155
1.709,909,1040,258,338,290,560,467,1122,85,207,184,154
1.835,950,1113,282,360,270,527,492,1153,84,202,193,148
1.679,883,1020,271,354,296,587,484,1150,88,208,191,154
1.742,912,1015,266,363,321,637,488,1155,89,216,197,155
1.698,885,1026,246,329,260,499,444,1090,82,197,178,157
1.671,840,993,259,338,294,606,451,1082,86,206,180,158
1.85,969,1137,270,365,318,642,495,1243,93,220,199,161
1.754,884,1069,271,350,301,523,469,1114,89,217,190,148
1.619,842,983,246,339,328,548,444,1096,85,205,184,155
1.772,917,1067,272,355,270,524,485,1106,90,211,196,155
1.705,922,1062,275,364,282,510,497,1147,84,200,203,154
1.619,815,955,237,322,295,597,440,1045,84,200,180,154
1.726,870,1006,248,326,287,542,442,1074,88,210,181,152
1.84,963,1094,287,374,318,614,497,1200,91,217,195,161
1.743,894,1013,262,345,320,640,466,1155,89,217,181,148
1.674,845,995,252,350,330,601,462,1147,90,216,190,158
1.75,938,1063,275,381,349,608,500,1150,97,233,210,153
1.819,935,1129,274,360,314,585,491,1174,92,222,200,147
1.799,957,1108,276,364,334,584,502,1207,94,230,208,168
1.75,932,1072,269,349,300,603,476,1189,88,206,188,148
1.723,914,1065,271,356,284,616,474,1123,90,212,191,154
1.809,948,1110,263,362,298,611,489,1168,85,204,201,144
1.791,888,1053,259,342,291,528,471,1123,86,207,190,159
1.723,879,1016,254,341,291,574,466,1157,81,195,191,154
1.578,746,908,223,298,277,510,400,1035,79,188,165,150
1.718,882,1013,258,354,288,576,468,1092,89,214,192,153
1.799,898,1068,259,340,318,584,465,1144,92,218,194,157
1.74,939,1082,271,348,280,520,479,1146,81,194,194,149
1.702,870,997,252,342,285,554,473,1071,81,195,204,159
1.737,898,1049,255,340,322,574,467,1082,89,215,197,155
1.73,874,1045,256,336,314,591,453,1110,87,211,187,157
1.785,901,1056,270,350,277,502,479,1116,90,212,192,153
1.817,960,1113,291,363,279,470,508,1151,93,223,203,143
1.843,955,1119,273,361,271,531,501,1160,88,213,202,151
1.791,950,1092,271,368,310,525,490,1154,90,213,195,143
1.657,845,1015,242,321,269,526,436,1099,81,189,175,153
1.701,895,1011,261,360,306,547,471,1131,86,210,184,151
1.786,880,1070,264,352,288,495,478,1107,85,207,186,158
1.755,894,1018,272,358,320,626,480,1135,92,223,195,152
1.791,920,1102,280,363,325,596,498,1152,94,227,204,147
1.759,890,1054,266,342,279,539,463,1124,88,207,182,165
1.79,914,1092,276,359,311,603,490,1196,86,211,191,152
1.782,896,1058,255,336,286,576,449,1146,88,208,183,158
1.839,950,1112,267,357,278,456,494,1175,94,218,201,146
1.88,977,1146,295,380,311,661,512,1265,87,206,197,158
1.738,897,1036,261,344,319,595,472,1088,91,218,192,151
1.734,886,1006,260,335,325,643,468,1141,87,211,196,153
1.819,998,1115,295,391,303,540,523,1159,83,203,204,151
1.683,884,1035,254,337,312,616,467,1128,88,210,194,154
1.815,953,1099,273,358,299,594,485,1185,88,212,192,153
1.815,906,1067,267,352,317,582,480,1152,85,208,199,163
1.673,845,979,255,338,301,595,446,1051,80,193,177,157
1.831,931,1080,277,367,329,623,504,1226,95,227,209,158
1.795,959,1051,271,355,320,571,475,1156,92,223,191,149
1.845,960,1116,283,377,321,645,505,1228,90,214,197,155
1.687,836,997,243,331,301,594,449,1009,85,210,182,154
1.756,918,1023,276,356,319,569,481,1137,90,215,190,147
1.846,1011,1114,278,376,361,728,511,1275,98,233,208,160
1.657,836,991,245,332,325,635,450,1087,88,208,180,158
1.632,841,973,259,323,272,592,447,1070,84,197,174,162
1.735,895,1047,274,354,305,570,483,1119,88,213,192,153
1.726,889,1009,266,344,281,524,468,1086,83,197,185,154
1.877,962,1148,274,358,328,648,490,1229,89,212,207,155
1.887,959,1096,294,377,310,568,513,1184,89,215,205,160
1.765,987,1081,274,359,298,544,499,1183,86,210,200,147
1.793,988,1115,289,376,334,549,502,1142,87,210,196,147
1.849,930,1097,282,386,335,567,515,1196,93,225,203,164
1.811,945,1112,269,366,304,535,489,1149,91,221,197,158
1.739,891,1045,265,349,325,611,474,1131,89,215,191,163
1.668,872,1006,259,334,285,533,457,1129,85,202,185,153
1.788,926,1074,287,371,309,547,500,1220,90,215,196,156
1.746,962,1099,277,368,319,565,505,1189,88,208,208,153
1.75,933,1030,264,352,310,538,478,1112,91,215,196,151
1.81,923,1108,271,363,329,598,499,1164,95,227,206,153
1.71,853,1005,238,314,309,557,439,1053,83,197,188,156
1.847,971,1107,288,364,314,643,505,1219,90,215,204,148
1.811,929,1085,271,362,284,576,473,1145,84,205,183,145
1.78,956,1071,297,393,341,641,542,1170,91,217,222,150
1.74,898,1025,250,338,296,584,456,1107,85,207,188,153
1.797,919,1080,267,363,351,616,494,1150,88,209,197,161
1.755,927,1089,277,364,337,575,485,1180,85,204,189,154
1.842,972,1118,290,378,319,643,512,1255,92,220,205,161
1.656,869,1013,257,345,299,610,462,1089,88,207,180,154
1.776,908,1034,280,370,290,559,478,1160,84,202,190,158
1.859,989,1099,272,361,346,634,488,1208,93,223,195,164
1.685,850,997,250,327,317,585,457,1036,96,226,190,163
1.775,918,1068,263,344,308,560,465,1158,92,217,190,154
1.825,1014,1155,310,401,328,563,545,1237,92,220,211,151
1.931,1015,1197,293,375,288,559,516,1254,86,205,204,150
1.789,944,1075,269,362,321,605,479,1160,91,220,192,148
1.819,953,1084,272,362,338,662,483,1156,92,222,195,152
1.782,919,1073,261,342,294,557,472,1132,88,213,188,160
1.721,880,1048,247,330,315,628,460,1123,91,219,183,147
1.91,1004,1186,298,405,341,665,537,1290,100,233,210,161
1.804,945,1085,267,350,319,602,488,1185,90,214,199,153
1.782,950,1052,262,354,315,662,475,1197,86,212,201,164
1.777,931,1082,274,351,322,582,475,1206,88,210,177,158
1.665,830,959,270,347,288,597,474,1072,83,201,188,152
1.803,950,1093,267,348,300,578,467,1177,92,218,185,153
1.879,1008,1181,288,385,331,608,532,1252,100,233,218,160
1.733,899,1023,263,347,313,639,460,1123,81,193,183,154
1.835,978,1106,274,369,327,604,496,1213,95,223,200,155
1.792,939,1078,271,362,317,651,489,1176,90,212,196,164
1.721,870,1014,256,344,301,577,465,1055,90,215,187,157
1.711,888,1038,264,340,313,614,460,1138,85,201,183,156
1.809,945,1082,265,347,320,606,470,1137,83,204,184,157
1.664,869,1013,242,326,288,543,439,1117,80,193,179,157
1.807,933,1064,274,371,335,640,500,1147,94,223,207,155
1.705,887,1019,261,350,301,549,470,1107,84,202,185,154
1.955,1021,1159,311,405,320,626,545,1287,93,223,222,158
1.73,875,1022,250,336,320,598,457,1154,84,200,185,150
1.774,927,1079,263,344,331,603,476,1177,93,224,194,150
1.724,912,1030,261,330,287,516,451,1133,82,195,177,149
1.705,888,993,264,352,306,546,475,1070,87,205,195,155
1.838,950,1115,282,362,301,580,493,1185,90,211,196,151
1.706,892,1019,249,340,316,621,452,1131,88,207,185,150
1.809,960,1095,268,360,295,608,490,1214,91,222,198,150
1.773,933,1075,279,357,292,527,487,1134,93,216,197,139
1.734,886,1031,258,336,293,551,462,1137,90,211,196,148
1.748,898,1025,265,350,286,545,468,1127,88,210,187,153
1.651,832,944,242,324,316,594,441,1047,85,203,182,153
1.724,885,1053,271,345,276,568,479,1165,82,198,193,151
1.86,954,1158,282,359,287,535,503,1231,93,217,207,153
1.715,875,1035,257,358,294,511,465,1126,91,213,185,151
1.757,919,1059,260,358,294,535,485,1132,93,222,196,145
1.916,979,1141,285,379,347,655,509,1245,93,216,204,152
1.847,992,1143,283,368,311,579,501,1225,83,201,198,150
1.855,990,1136,296,377,326,554,518,1228,94,220,203,156
1.718,880,1004,258,338,290,458,461,1094,85,206,186,150
1.641,806,936,245,337,316,590,445,1059,87,210,185,152
1.833,945,1114,282,374,306,560,502,1183,91,215,204,145
1.784,939,1083,272,359,341,655,476,1153,97,233,195,156
1.77,892,1075,273,368,337,611,504,1193,90,220,206,163
1.702,877,1047,255,329,280,505,448,1089,81,190,183,157
1.8,933,1084,268,362,297,554,479,1123,87,210,189,151
1.715,918,1007,263,344,260,530,472,1117,83,194,194,161
1.842,944,1112,267,355,301,528,477,1220,86,211,189,144
1.71,880,987,264,346,322,574,471,1078,83,205,188,165
1.753,951,1068,276,351,330,584,488,1148,88,210,201,156
1.935,1015,1148,286,381,320,588,506,1259,90,213,200,150
1.738,909,1025,280,357,299,602,482,1111,86,207,195,142
1.77,926,1064,279,361,327,587,487,1178,88,215,190,153
1.72,917,1061,282,367,313,576,497,1152,92,225,193,152
1.673,831,1000,244,329,289,557,439,1076,80,202,175,163
1.715,883,987,242,328,351,683,450,1128,95,227,183,160
1.822,947,1063,274,351,307,586,489,1199,82,206,195,150
1.913,981,1128,290,362,332,641,500,1238,90,217,195,148
1.756,919,1041,261,343,311,589,470,1155,97,228,193,156
1.735,881,1038,254,339,302,584,456,1092,91,220,184,155
1.726,908,1045,296,374,327,606,512,1162,88,210,208,156
1.716,871,1004,259,345,324,612,461,1065,86,212,187,154
1.717,879,1041,265,336,266,499,462,1090,83,203,190,151
1.718,915,1039,261,337,292,493,466,1112,86,206,197,144
1.747,923,1052,271,364,315,619,500,1136,87,210,200,177
1.567,861,945,243,310,246,476,428,991,78,188,172,136
1.894,972,1114,265,356,338,644,481,1194,91,218,196,163
1.738,927,1071,261,343,294,555,468,1110,87,210,188,145
1.862,1002,1131,302,381,330,641,516,1231,93,221,203,160
1.654,858,973,239,327,260,465,430,1063,78,187,165,148
1.637,845,970,246,329,303,612,452,1059,86,203,183,148
1.738,884,1025,264,341,308,647,463,1124,82,201,190,161
1.813,1024,1145,302,399,383,658,530,1208,95,233,205,144
1.738,970,1081,285,367,312,597,507,1170,86,207,200,144
1.815,980,1095,289,388,326,652,522,1226,98,227,217,160
1.736,860,997,261,345,348,675,460,1149,86,212,182,154
1.689,866,983,255,352,288,587,465,1138,81,200,181,155
1.74,913,1049,261,333,271,512,466,1150,82,202,185,145
1.782,942,1078,279,379,308,533,491,1138,87,206,195,158
1.784,961,1095,270,349,305,569,490,1135,88,206,201,149
1.647,861,970,241,325,320,600,436,1127,84,202,179,157
1.74,888,1034,264,347,333,657,465,1131,92,220,187,156
1.664,857,1015,253,343,283,529,468,1118,88,213,193,151
1.805,945,1099,290,386,369,653,513,1218,91,220,201,158
1.745,932,1073,289,379,333,593,500,1181,85,202,187,154
1.605,843,976,252,339,328,522,457,1096,86,208,186,138
1.83,976,1124,297,379,322,614,515,1213,94,225,199,159
1.81,967,1110,285,368,320,575,496,1204,90,221,194,156
1.731,886,1035,252,329,268,533,448,1085,84,200,178,153
1.845,964,1119,272,348,295,531,486,1188,85,213,195,155
1.775,965,1097,288,374,290,511,502,1154,89,213,204,151
1.795,926,1042,270,362,330,622,481,1187,93,220,187,157
1.664,891,996,285,370,328,617,500,1117,90,222,200,160
1.752,906,1047,268,349,309,615,474,1175,88,210,187,160
1.814,963,1080,282,373,296,573,499,1150,89,216,204,151
1.836,981,1130,276,359,330,649,490,1228,92,218,197,157
1.628,849,940,240,325,282,557,442,1056,80,193,183,153
1.64,835,986,255,346,326,588,470,1099,87,213,193,153
1.728,850,1003,263,344,314,557,477,1095,90,214,204,162
1.606,821,952,240,322,262,480,434,1052,78,190,176,162
