,Gender,weight_kg,stature_m,body_height,x,y
0,Male,853,81.5,175,-3.8615446,0.7219899
1,Male,815,72.6,167,-14.636895,24.068016
2,Male,831,92.9,180,16.971266,-3.1858015
3,Male,793,79.4,176,12.985806,41.171623
4,Male,954,94.6,188,-24.361904,-46.15209
5,Male,802,80.2,171,16.50674,11.43339
6,Male,861,116.2,195,18.27612,-47.440968
7,Male,883,95.4,185,-7.1110544,-43.71049
8,Male,881,99.5,191,23.22821,-24.648338
9,Male,880,70.2,179,-39.93454,-6.1598387
10,Male,863,88.2,174,7.608278,-14.470859
11,Male,817,70.1,171,-28.611284,17.43956
12,Male,867,103.7,183,0.6552704,-47.576878
13,Male,904,111.6,184,10.075071,-51.05967
14,Male,795,89.6,183,34.559853,11.565659
15,Male,844,92.4,187,14.331661,-21.714607
16,Male,819,77.9,176,9.186124,25.678577
17,Male,857,96.9,180,24.88114,-10.29913
18,Male,844,76,170,-10.655215,12.112292
19,Male,849,90.8,175,6.049367,-12.645529
20,Male,840,71.4,187,-27.675547,10.777621
21,Male,806,74.6,172,11.954552,36.42413
22,Male,805,79.2,174,28.369242,26.695864
23,Male,926,91.5,185,-24.164665,-46.64099
24,Male,825,96.5,186,25.060585,-9.844033
25,Male,790,67.5,157,-0.05199401,52.242424
26,Male,887,107.3,184,15.257799,-40.23342
27,Male,873,79.3,180,-19.668482,-3.051151
28,Male,798,78.2,183,-14.280231,6.6863523
29,Male,915,88.2,176,3.5167596,-9.936613
30,Male,874,71.5,179,-35.21781,-20.244354
31,Male,815,94.7,186,24.71352,-12.051362
32,Male,794,66.5,158,-17.002398,42.79822
33,Male,886,87.9,183,-21.888565,-36.35949
34,Male,845,67.5,171,-32.826523,16.611568
35,Male,862,88.4,168,8.062867,-33.773216
36,Male,789,69.5,155,-16.770601,42.375187
37,Male,909,121.8,197,17.763062,-52.60422
38,Male,821,71.9,172,-22.86342,13.821647
39,Male,855,88.1,180,29.263006,0.94528234
40,Male,832,57.5,161,-36.271675,27.087332
41,Male,798,87.6,174,32.43471,16.554825
42,Male,902,85,182,-20.063103,-14.180042
43,Male,850,86.5,177,17.698097,0.14877416
44,Male,859,95.8,177,30.654255,-16.233004
45,Male,772,66.7,164,-13.560559,51.09969
46,Male,818,70.6,178,-15.332365,15.121779
47,Male,830,84.7,170,25.902807,3.4266224
48,Male,924,101.3,191,-2.1609547,-39.57025
49,Male,810,85.6,170,35.61434,23.804846
50,Male,880,109.5,190,29.694508,-35.655903
51,Male,873,83.4,182,-15.093009,-34.079533
52,Male,800,72.7,160,7.662602,44.943073
53,Male,815,98.6,181,32.048763,-11.532245
54,Male,849,77.3,182,10.82323,36.98182
55,Male,893,140,197,22.083735,-53.478718
56,Male,856,67.4,177,-42.902733,10.901275
57,Male,850,88.4,171,21.915346,-2.808272
58,Male,837,98.8,179,35.11599,-10.410473
59,Male,895,95.2,175,-3.0401568,-41.101185
60,Male,747,56.6,161,-12.62673,58.32143
61,Male,799,71.7,167,1.2951509,21.396832
62,Male,860,71.7,176,-36.88386,-13.422678
63,Male,754,80.2,177,6.8101563,24.784853
64,Male,840,98.8,179,32.378334,-11.578242
65,Male,837,66.2,169,-28.827223,37.25795
66,Male,758,80.7,173,8.144566,34.88311
67,Male,919,105.3,189,6.8669176,-46.395466
68,Male,815,68.3,171,-31.970753,17.580654
69,Male,779,74.9,171,2.9534879,48.62539
70,Male,848,73.8,170,-21.759724,17.54265
71,Male,778,60.4,162,-40.65914,25.662146
72,Male,753,77.4,164,12.340615,47.333435
73,Male,817,76.8,175,10.828177,30.443266
74,Male,899,102.2,175,9.2209635,-36.270035
75,Male,827,96.3,184,34.30823,-9.666186
76,Male,818,92.3,175,37.082886,12.260776
77,Male,854,98.8,190,5.892516,-26.712416
78,Male,844,88.7,178,-15.193136,-22.12218
79,Male,861,98.7,185,-3.944126,-20.070288
80,Male,811,85.2,166,8.135108,-8.578023
81,Male,793,74.8,178,-19.276125,9.6203375
82,Male,930,92,175,-6.5630183,-32.598236
83,Male,869,74.4,174,-14.2053175,10.832604
84,Male,844,82.3,165,16.293365,11.300795
85,Male,743,62.7,157,-5.7560782,60.136395
86,Male,828,77.8,175,8.445364,14.850752
87,Male,875,88.2,186,5.2459598,-7.8028455
88,Male,804,59,165,-40.384068,25.030617
89,Male,813,73,167,-10.793875,31.185198
90,Male,836,86.4,180,11.669247,-0.95232457
91,Male,863,86.6,175,10.982732,-0.1699596
92,Male,846,73.7,180,-25.9421,-2.6568172
93,Male,851,65.4,180,-41.63615,-10.285643
94,Male,871,69.6,181,-36.182407,-14.473076
95,Male,854,77.5,178,-28.555042,-8.712486
96,Male,813,72.7,155,3.8472915,43.541622
97,Male,816,79.7,174,13.769738,21.426266
98,Male,845,74.4,170,-15.165435,10.038415
99,Male,852,96.8,158,32.070282,-16.455128
100,Female,756,65.7,152,-12.318749,-18.988544
101,Female,815,53.4,155,-10.471661,11.249447
102,Female,799,66.3,162,0.15106753,-18.100029
103,Female,818,78.2,173,-6.430238,8.058027
104,Female,762,88.6,152,-40.403862,-13.729485
105,Female,844,83.7,159,-9.968432,-45.038994
106,Female,814,73.2,154,12.884679,-2.1004837
107,Female,814,76,155,26.580282,-1.0518293
108,Female,714,54.5,143,-26.637524,-33.099617
109,Female,811,68.4,151,26.894325,13.6729765
110,Female,819,99,180,-7.9908233,-31.744717
111,Female,775,74.2,160,3.9549448,-9.147757
112,Female,788,78.1,159,28.941494,20.389875
113,Female,797,71.8,167,14.892057,-41.224785
114,Female,755,70.9,150,23.790041,-29.36881
115,Female,825,67.2,162,11.595102,-46.883835
116,Female,801,62,162,13.865005,37.278854
117,Female,834,59.5,149,3.040016,-0.240002
118,Female,789,74.1,155,21.424644,-53.385376
119,Female,787,60.5,150,17.148405,37.815254
120,Female,759,80,160,2.0661879,49.747543
121,Female,787,74.7,155,-18.476727,8.172506
122,Female,787,49.1,146,-14.209758,20.068274
123,Female,841,70.3,152,12.844234,-54.205154
124,Female,780,71.5,151,-7.680483,-29.812765
125,Female,784,70.8,158,-39.944817,1.0214838
126,Female,734,48.8,145,-30.183584,-30.729523
127,Female,785,69.1,155,-12.080154,-37.178574
128,Female,822,73,160,-28.862251,-13.673846
129,Female,739,61,154,25.254303,-9.433835
130,Female,780,65.8,153,6.767463,39.008358
131,Female,824,70.9,160,-8.741493,-19.540825
132,Female,840,72.8,160,-36.168003,1.3436853
133,Female,827,84.6,150,1.4727113,4.039359
134,Female,846,94.5,156,3.3553965,-43.081215
135,Female,785,62.7,147,11.862904,35.876945
136,Female,782,57.8,141,-6.58685,-45.42416
137,Female,743,52.4,148,6.4666214,-21.353165
138,Female,799,73.2,159,9.8321905,-40.86247
139,Female,817,79.1,169,-6.4975905,17.691067
140,Female,843,89.4,166,-1.8849008,-16.447092
141,Female,827,68.9,154,-6.62378,-13.985486
142,Female,796,75.8,161,10.58136,-45.61007
143,Female,797,73.1,165,27.766148,25.642475
144,Female,780,74.8,160,9.48035,-9.739093
145,Female,825,80.6,162,14.06539,-45.25245
146,Female,766,71.4,161,12.481569,35.15207
147,Female,769,71.2,158,6.537456,-4.0515976
148,Female,819,65.7,160,-30.338694,-32.931816
149,Female,791,47.7,149,-26.060719,-43.035873
150,Female,830,69.6,152,-0.3338827,-24.911886
151,Female,853,119.6,167,19.23844,-43.599865
152,Female,823,88.7,165,-15.554491,0.92868143
153,Female,792,75.4,154,22.601467,-2.7172961
154,Female,746,67.8,156,8.326024,-56.538685
155,Female,740,60.7,148,-7.885926,-31.219343
156,Female,779,57.2,145,24.661032,-34.37278
157,Female,766,68.9,147,-1.0696373,-16.217247
158,Female,762,71.2,152,1.8798018,44.191948
159,Female,776,60.4,150,-7.4909477,-31.203627
160,Female,877,69.7,155,-21.227922,-42.90257
161,Female,798,85.4,152,32.13018,-15.782561
162,Female,813,61.7,142,-0.48344573,-39.94719
163,Female,802,79,165,29.235956,-35.983055
164,Female,815,67.2,152,26.476559,10.927088
165,Female,836,69.5,155,23.727556,-5.590998
166,Female,770,66.9,156,9.034482,-27.087854
167,Female,794,57.4,146,3.4158628,37.563503
168,Female,798,81.5,164,13.094249,-34.982845
169,Female,777,61.8,149,-3.9133663,19.862837
170,Female,728,64.5,149,6.985569,-57.82844
171,Female,779,55.7,145,14.794835,12.012329
172,Female,760,61.4,149,22.23176,-15.085176
173,Female,821,66.8,150,-27.771378,34.136013
174,Female,755,73,155,-22.516539,34.417255
175,Female,864,73.7,150,-8.695032,-31.69161
176,Female,793,69.3,152,27.027283,13.393064
177,Female,786,75.7,153,4.424243,-35.207016
178,Female,785,74,153,-7.3342667,-5.3747888
179,Female,796,68.2,161,6.048207,5.4493794
180,Female,828,86.7,167,-15.61311,18.377003
181,Female,908,88.2,164,37.52811,25.157925
182,Female,786,78.6,153,-21.379734,5.9701295
183,Female,852,62.2,159,-35.070385,-20.522781
184,Female,831,78.2,154,-27.529593,34.118534
185,Female,695,60.8,145,-10.659844,8.929731
186,Female,810,67.4,152,10.302865,-54.647285
187,Female,769,68.6,155,-31.118639,-28.418673
188,Female,779,67,158,-23.523733,-36.43353
189,Female,711,63.5,154,-24.629246,35.361183
190,Female,781,77.3,160,37.955227,25.216923
191,Female,799,55.5,152,-24.605568,-22.489923
192,Female,773,72.7,155,9.952037,-27.982126
193,Female,802,59.3,151,30.635296,-25.235064
194,Female,839,99.8,167,-8.099386,31.430626
195,Female,734,58.1,144,-27.78473,-7.6531386
196,Female,721,64.2,147,-15.163285,19.621513
197,Female,809,75.8,160,-26.492857,-22.109644
198,Female,779,68.3,154,30.123203,10.843167
199,Female,757,47.1,145,-11.634835,-15.476363
